2016-02-23:03:49:18  -----  Authenticate; URL: http://hiipa.loc/auth/authenticate
2016-02-23:04:08:32  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:08:50  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:09:06  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:09:14  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:09:32  -----  Open assessments edit page "196" step "1"; URL: http://hiipa.loc/assessment/edit/196/step/1
2016-02-23:04:09:35  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:10:13  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:10:46  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:11:02  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:11:19  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:11:28  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:11:35  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/293
2016-02-23:04:11:37  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/293
2016-02-23:04:11:40  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:11:42  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:12:04  -----  Open assessments edit page "196" step "2"; URL: http://hiipa.loc/assessment/edit/196/step/2/location/294
2016-02-23:04:12:06  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:12:20  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:12:37  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:12:44  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:13:21  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:13:30  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/293
2016-02-23:04:13:42  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:14:23  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:14:45  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:15:21  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:15:34  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
